AP210-R302-2,R302-CNR-Meeting-Room
AP223-R200,"R200, Robot Bldg."
AP108-R300,R300 Info Lab
AP3-46-R010-146,R010-Robot Exhibition Hall Robot Bldg.
AP109-R404,R404
AP216-R101,"R101, Robot Bldg."
AP2-7-R020-153,Robot Auditorium Robot Bldg.
AP219-R303,"R303, Robot Bldg."
AP2-8-R020-154,Robot Auditorium Robot Bldg.
AP208-R211,R211 WIG Research Lab
AP112-R400,R400 Staff Office
AP206-R204,R204 Network Security Lab
AP220-R301B,"R301B, Robot Bldg."
AP204-R100,R100
AP218-FL01-E,Floor01-East-Activity-Area
AP217-FL01-W,Floor01-West-Activity-Area
AP222-R201,"R201, Robot Bldg."
AP212-IDL,"IDL, Flr04"
AP221-R301A,"R301A, Robot Bldg."
AP205-R207,R207 Common Room
AP214-R205,CoE General Office
AP211-Shop,CoE Workshop Flr01
AP213-R202,R400 Staff Office
AP215-R409,"R409, Robot Bldg."
AP201-R411,R411
AP209-R302-1,R302 CNR Lab
AP110-R311,"R311, Robot Bldg."
AP111-R405,R405 Robotic Lab